0x74b44a,0x76b64c,0x73b349,0x66a63c,0x66a63c,0x6faf45,0x5f9f35,0x6cac42,0x7ebe54,0x76b64c,0x6aaa40,0x67a73d,0x69a93f,0x61a137,0x509026,0x6dad43,
0x75b54b,0x6cac42,0x8ab95a,0x81b051,0x83b253,0x593d29,0x68a83e,0x62a238,0x5f9f35,0x93c263,0x90bf60,0x73b349,0x61a137,0x6cac42,0x67a73d,0x6bab41,
0x8dbc5d,0x593d29,0x9ccb6c,0x64a43a,0x69a93f,0x593d29,0x70b046,0x593d29,0x74b44a,0x7fbf55,0x92c162,0x97c667,0x593d29,0x57972d,0x60a036,0x593d29,
0x593d29,0x6c6c6c,0x593d29,0x593d29,0x71b147,0x593d29,0x593d29,0x593d29,0x5f9f35,0x593d29,0x6dad43,0x593d29,0x79553a,0x593d29,0x593d29,0x79553a,
0x966c4a,0x79553a,0x966c4a,0xb9855c,0x593d29,0x966c4a,0x79553a,0x79553a,0x593d29,0x593d29,0x593d29,0x6c6c6c,0x79553a,0x966c4a,0x593d29,0x79553a,
0x79553a,0x593d29,0x966c4a,0x966c4a,0x79553a,0x966c4a,0x593d29,0x593d29,0x593d29,0x79553a,0x79553a,0x593d29,0x79553a,0x79553a,0x79553a,0xb9855c,
0xb9855c,0x79553a,0x79553a,0x79553a,0x878787,0x79553a,0x79553a,0xb9855c,0xb9855c,0x79553a,0xb9855c,0xb9855c,0x79553a,0x966c4a,0x79553a,0x966c4a,
0x79553a,0x79553a,0xb9855c,0xb9855c,0x966c4a,0x966c4a,0x79553a,0x79553a,0x966c4a,0x593d29,0x966c4a,0x966c4a,0x79553a,0x79553a,0x966c4a,0x966c4a,
0x966c4a,0x79553a,0x79553a,0x966c4a,0x79553a,0x966c4a,0x79553a,0x593d29,0x79553a,0x966c4a,0x966c4a,0x79553a,0x79553a,0x79553a,0x593d29,0x79553a,
0x79553a,0x966c4a,0x593d29,0x79553a,0x79553a,0x593d29,0x593d29,0x79553a,0x79553a,0x79553a,0x79553a,0x79553a,0xb9855c,0xb9855c,0x79553a,0x966c4a,
0x79553a,0x966c4a,0x79553a,0xb9855c,0xb9855c,0x79553a,0xb9855c,0x966c4a,0x593d29,0xb9855c,0xb9855c,0x593d29,0x966c4a,0x966c4a,0x878787,0x79553a,
0x966c4a,0x79553a,0x79553a,0x966c4a,0x966c4a,0xb9855c,0x79553a,0x966c4a,0x6c6c6c,0x966c4a,0x966c4a,0x79553a,0x593d29,0x966c4a,0x79553a,0x593d29,
0x79553a,0x593d29,0x966c4a,0x79553a,0x966c4a,0x966c4a,0xb9855c,0x79553a,0x79553a,0x79553a,0x79553a,0x79553a,0x79553a,0x79553a,0xb9855c,0xb9855c,
0x79553a,0x966c4a,0x79553a,0x79553a,0x745844,0x79553a,0x966c4a,0x966c4a,0x79553a,0x593d29,0xb9855c,0x593d29,0x79553a,0xb9855c,0x966c4a,0x966c4a,
0x966c4a,0x79553a,0x593d29,0xb9855c,0x79553a,0x593d29,0x79553a,0x593d29,0xb9855c,0xb9855c,0x79553a,0x966c4a,0x79553a,0x79553a,0x966c4a,0x966c4a,
0x966c4a,0x79553a,0xb9855c,0x966c4a,0x966c4a,0x79553a,0x878787,0x79553a,0x966c4a,0x966c4a,0x79553a,0x79553a,0x966c4a,0x966c4a,0x79553a,0x593d29,
